timestamp,sector,geo_area,total_units,total_people_on_shift,active_incidents,utilization_ratio,overload_flag
2025-11-29T15:08:47.110347+00:00,Civil Defense,AREA_032,168,324,113,1.0,1
2025-12-07T23:15:47.110347+00:00,Police,AREA_017,21,762,87,1.0,1
2025-12-05T07:58:47.110347+00:00,Civil Defense,AREA_003,51,912,95,1.0,1
2025-11-17T18:55:47.110347+00:00,Ambulance,AREA_058,147,429,97,1.0,1
2025-12-03T17:58:47.110347+00:00,Ambulance,AREA_027,37,515,85,1.0,1
2025-12-01T11:26:47.110347+00:00,General Investigation,AREA_024,18,223,84,1.0,1
2025-12-12T22:44:47.110347+00:00,Police,AREA_021,166,530,70,1.0,1
2025-11-25T09:58:47.110347+00:00,Police,AREA_045,105,708,38,0.779,0
2025-11-20T21:16:47.110347+00:00,National Guard,AREA_019,28,772,7,0.135,0
2025-11-29T22:13:47.110347+00:00,General Investigation,AREA_054,65,619,93,1.0,1
2025-12-05T03:35:47.110347+00:00,Narcotics Control,AREA_026,132,143,13,1.0,1
2025-12-02T10:32:47.110347+00:00,National Guard,AREA_005,92,780,115,1.0,1
2025-11-15T05:56:47.110347+00:00,Police,AREA_018,152,296,57,1.0,1
2025-11-27T19:46:47.110347+00:00,Narcotics Control,AREA_037,89,325,65,1.0,1
2025-11-21T23:05:47.110347+00:00,Civil Defense,AREA_059,170,229,92,1.0,1
2025-11-18T10:38:47.110347+00:00,National Guard,AREA_052,147,1149,91,0.657,0
2025-12-12T10:45:47.110347+00:00,Ambulance,AREA_026,160,668,48,0.911,1
2025-11-24T07:54:47.110347+00:00,National Guard,AREA_058,14,498,74,1.0,1
2025-11-30T19:02:47.110347+00:00,General Investigation,AREA_029,141,1066,37,0.748,0
2025-12-03T07:58:47.110347+00:00,National Guard,AREA_037,32,289,95,1.0,1
2025-11-22T15:53:47.110347+00:00,Police,AREA_034,118,880,42,0.803,0
2025-12-11T01:00:47.110347+00:00,Ambulance,AREA_012,85,879,9,0.188,0
2025-11-27T16:23:47.110347+00:00,Ambulance,AREA_053,50,993,18,0.22,0
2025-11-20T22:46:47.110347+00:00,Ambulance,AREA_017,142,956,54,0.69,0
2025-11-26T00:56:47.110347+00:00,National Guard,AREA_045,62,104,102,1.0,1
2025-12-01T14:38:47.110347+00:00,Narcotics Control,AREA_006,161,232,33,1.0,1
2025-12-03T08:17:47.110347+00:00,National Guard,AREA_012,170,125,80,1.0,1
2025-11-26T17:00:47.110347+00:00,National Guard,AREA_020,152,496,47,1.0,1
2025-12-09T21:19:47.110347+00:00,Narcotics Control,AREA_022,52,1108,21,0.513,0
2025-11-16T18:04:47.110347+00:00,Narcotics Control,AREA_001,142,554,33,0.741,0
2025-11-22T13:41:47.110347+00:00,Narcotics Control,AREA_059,165,953,43,0.765,0
2025-11-30T21:33:47.110347+00:00,Civil Defense,AREA_023,149,607,53,1.0,1
2025-11-27T11:25:47.110347+00:00,Police,AREA_030,92,771,10,0.648,0
2025-12-01T12:45:47.110347+00:00,Ambulance,AREA_057,48,211,100,1.0,1
2025-12-06T12:40:47.110347+00:00,Narcotics Control,AREA_040,18,690,56,0.996,1
2025-12-02T08:08:47.110347+00:00,Ambulance,AREA_051,153,1004,106,1.0,1
2025-11-20T16:42:47.110347+00:00,Ambulance,AREA_051,156,690,95,1.0,1
2025-11-14T13:19:47.110347+00:00,General Investigation,AREA_036,178,120,7,0.835,0
2025-12-09T18:19:47.110347+00:00,Narcotics Control,AREA_048,78,453,44,1.0,1
2025-12-12T13:48:47.110347+00:00,Police,AREA_040,54,572,8,0.356,0
2025-12-05T05:25:47.110347+00:00,Narcotics Control,AREA_044,47,517,110,1.0,1
2025-11-13T19:43:47.110347+00:00,Ambulance,AREA_003,23,96,43,1.0,1
2025-12-02T14:30:47.110347+00:00,Police,AREA_029,154,654,105,1.0,1
2025-12-09T17:55:47.110347+00:00,General Investigation,AREA_006,116,296,119,1.0,1
2025-12-12T11:35:47.110347+00:00,Narcotics Control,AREA_045,136,1115,81,0.968,1
2025-11-15T13:18:47.110347+00:00,General Investigation,AREA_049,87,569,103,1.0,1
2025-11-14T18:52:47.110347+00:00,Police,AREA_031,145,266,79,1.0,1
2025-11-30T22:15:47.110347+00:00,National Guard,AREA_058,179,553,73,1.0,1
2025-11-15T17:18:47.110347+00:00,Narcotics Control,AREA_056,54,168,108,1.0,1
2025-11-29T09:22:47.110347+00:00,Narcotics Control,AREA_003,31,1147,85,0.724,0
2025-12-11T23:18:47.110347+00:00,Ambulance,AREA_028,172,392,23,0.579,0
2025-11-26T03:26:47.110347+00:00,Civil Defense,AREA_007,62,671,11,0.458,0
2025-12-02T04:00:47.110347+00:00,Civil Defense,AREA_032,136,440,100,1.0,1
2025-11-20T00:35:47.110347+00:00,Police,AREA_033,89,1020,103,1.0,1
2025-11-29T01:04:47.110347+00:00,Ambulance,AREA_023,173,229,44,1.0,1
2025-11-24T11:03:47.110347+00:00,Ambulance,AREA_031,114,696,22,0.478,0
2025-11-23T00:32:47.110347+00:00,Police,AREA_049,95,565,40,0.815,0
2025-11-17T11:18:47.110347+00:00,Narcotics Control,AREA_019,108,536,8,0.293,0
2025-12-01T02:37:47.110347+00:00,National Guard,AREA_026,159,856,101,1.0,1
2025-11-23T19:39:47.110347+00:00,National Guard,AREA_049,103,694,96,1.0,1
2025-12-11T17:33:47.110347+00:00,Ambulance,AREA_057,150,843,93,1.0,1
2025-12-13T08:23:47.110347+00:00,General Investigation,AREA_043,42,513,66,1.0,1
2025-11-15T09:03:47.110347+00:00,Narcotics Control,AREA_007,99,79,69,1.0,1
2025-11-21T07:19:47.110347+00:00,Narcotics Control,AREA_035,138,742,96,1.0,1
2025-11-14T23:14:47.110347+00:00,General Investigation,AREA_037,45,154,65,1.0,1
2025-12-02T19:03:47.110347+00:00,General Investigation,AREA_040,23,862,15,0.274,0
2025-11-28T20:35:47.110347+00:00,General Investigation,AREA_059,115,813,59,0.744,0
2025-11-26T01:45:47.110347+00:00,Civil Defense,AREA_033,102,842,47,0.727,0
2025-12-09T21:47:47.110347+00:00,National Guard,AREA_018,10,433,92,1.0,1
2025-11-22T06:07:47.110347+00:00,Ambulance,AREA_018,33,696,99,1.0,1
2025-11-23T18:48:47.110347+00:00,Narcotics Control,AREA_019,146,857,93,1.0,1
2025-11-30T02:15:47.110347+00:00,Police,AREA_031,147,830,6,0.169,0
2025-11-24T13:02:47.110347+00:00,Narcotics Control,AREA_028,72,224,70,1.0,1
2025-12-04T16:14:47.110347+00:00,Narcotics Control,AREA_037,110,636,51,0.814,0
2025-11-13T18:59:47.110347+00:00,Police,AREA_034,61,45,80,1.0,1
2025-11-22T14:40:47.110347+00:00,General Investigation,AREA_003,48,162,60,1.0,1
2025-11-21T20:36:47.110347+00:00,Police,AREA_027,175,1075,29,0.298,0
2025-12-07T08:08:47.110347+00:00,Civil Defense,AREA_023,174,684,30,0.665,0
2025-11-19T19:20:47.110347+00:00,National Guard,AREA_002,54,833,112,1.0,1
2025-11-13T22:41:47.110347+00:00,General Investigation,AREA_041,20,387,28,1.0,1
2025-12-02T04:57:47.110347+00:00,General Investigation,AREA_032,105,652,22,0.514,0
2025-11-17T13:21:47.110347+00:00,Police,AREA_029,97,569,60,1.0,1
2025-11-15T00:31:47.110347+00:00,General Investigation,AREA_008,104,244,2,0.342,0
2025-12-10T17:41:47.110347+00:00,Narcotics Control,AREA_008,102,102,94,1.0,1
2025-11-24T22:17:47.110347+00:00,Civil Defense,AREA_010,117,596,88,1.0,1
2025-11-25T10:47:47.110347+00:00,Police,AREA_023,106,422,66,1.0,1
2025-12-01T09:24:47.110347+00:00,Police,AREA_040,78,1021,16,0.478,0
2025-12-11T21:13:47.110347+00:00,Ambulance,AREA_018,73,693,113,1.0,1
2025-11-28T06:56:47.110347+00:00,General Investigation,AREA_031,36,785,10,0.464,0
2025-12-03T13:43:47.110347+00:00,Police,AREA_036,178,363,72,1.0,1
2025-11-26T11:57:47.110347+00:00,Police,AREA_020,148,522,65,1.0,1
2025-12-01T13:29:47.110347+00:00,Civil Defense,AREA_027,87,560,47,0.948,1
2025-12-05T07:05:47.110347+00:00,Narcotics Control,AREA_045,110,753,13,0.376,0
2025-11-30T14:32:47.110347+00:00,Civil Defense,AREA_032,44,1118,12,0.109,0
2025-11-29T00:23:47.110347+00:00,National Guard,AREA_008,131,84,91,1.0,1
2025-12-06T21:04:47.110347+00:00,General Investigation,AREA_032,24,478,94,1.0,1
2025-12-08T04:09:47.110347+00:00,Narcotics Control,AREA_041,15,900,44,0.617,0
2025-11-28T18:40:47.110347+00:00,General Investigation,AREA_025,15,214,104,1.0,1
2025-12-04T21:27:47.110347+00:00,Ambulance,AREA_012,174,1078,89,1.0,1
2025-11-26T00:27:47.110347+00:00,Civil Defense,AREA_052,64,951,20,0.607,0
2025-12-11T20:11:47.110347+00:00,Police,AREA_008,130,231,32,1.0,1
2025-11-23T23:37:47.110347+00:00,Ambulance,AREA_006,135,158,3,0.276,0
2025-11-22T17:35:47.110347+00:00,Narcotics Control,AREA_016,174,486,35,1.0,1
2025-12-11T06:28:47.110347+00:00,Civil Defense,AREA_019,131,439,31,0.681,0
2025-11-17T09:30:47.110347+00:00,National Guard,AREA_037,19,797,108,1.0,1
2025-12-09T09:37:47.110347+00:00,Ambulance,AREA_020,114,380,4,0.343,0
2025-12-05T18:09:47.110347+00:00,Police,AREA_036,145,470,47,1.0,1
2025-12-01T05:18:47.110347+00:00,General Investigation,AREA_009,72,87,101,1.0,1
2025-11-16T21:47:47.110347+00:00,Narcotics Control,AREA_057,67,380,3,0.229,0
2025-11-21T08:23:47.110347+00:00,National Guard,AREA_056,142,64,95,1.0,1
2025-11-30T04:22:47.110347+00:00,National Guard,AREA_027,20,194,110,1.0,1
2025-11-19T22:33:47.110347+00:00,Civil Defense,AREA_037,102,791,56,0.789,0
2025-11-22T12:21:47.110347+00:00,Narcotics Control,AREA_021,72,423,80,1.0,1
2025-11-15T06:09:47.110347+00:00,Narcotics Control,AREA_030,83,271,64,1.0,1
2025-11-24T15:35:47.110347+00:00,Narcotics Control,AREA_008,14,241,35,1.0,1
2025-12-02T16:06:47.110347+00:00,General Investigation,AREA_007,13,563,116,1.0,1
2025-12-06T11:52:47.110347+00:00,Narcotics Control,AREA_042,33,1044,41,0.602,0
2025-11-28T10:52:47.110347+00:00,National Guard,AREA_055,160,257,67,1.0,1
2025-12-07T18:52:47.110347+00:00,Civil Defense,AREA_019,157,445,72,1.0,1
2025-12-04T06:45:47.110347+00:00,Narcotics Control,AREA_017,23,655,34,0.91,1
2025-12-03T14:01:47.110347+00:00,Narcotics Control,AREA_010,62,888,23,0.481,0
2025-11-18T06:42:47.110347+00:00,Ambulance,AREA_051,172,434,31,0.843,0
2025-12-02T11:37:47.110347+00:00,Ambulance,AREA_004,63,940,42,0.822,0
2025-11-27T22:27:47.110347+00:00,Narcotics Control,AREA_025,131,1036,61,0.685,0
2025-11-26T00:35:47.110347+00:00,National Guard,AREA_052,66,281,57,1.0,1
2025-12-12T16:33:47.110347+00:00,Police,AREA_010,23,1074,27,0.54,0
2025-12-06T09:17:47.110347+00:00,Police,AREA_054,159,1160,47,0.349,0
2025-11-15T02:01:47.110347+00:00,General Investigation,AREA_035,85,1169,71,0.868,1
2025-11-16T08:49:47.110347+00:00,Civil Defense,AREA_037,139,821,111,1.0,1
2025-12-02T12:23:47.110347+00:00,General Investigation,AREA_018,58,1013,22,0.295,0
2025-11-29T10:26:47.110347+00:00,Narcotics Control,AREA_040,116,580,88,1.0,1
2025-12-03T11:42:47.110347+00:00,Police,AREA_042,155,1026,51,0.654,0
2025-11-15T03:08:47.110347+00:00,General Investigation,AREA_032,11,262,7,0.396,0
2025-12-06T06:35:47.110347+00:00,Ambulance,AREA_058,167,91,52,1.0,1
2025-12-12T12:35:47.110347+00:00,Narcotics Control,AREA_022,107,948,6,0.24,0
2025-11-30T09:53:47.110347+00:00,General Investigation,AREA_055,173,476,51,1.0,1
2025-11-17T11:35:47.110347+00:00,Ambulance,AREA_019,155,541,108,1.0,1
2025-12-13T09:56:47.110347+00:00,National Guard,AREA_009,133,561,40,0.959,1
2025-11-19T08:11:47.110347+00:00,General Investigation,AREA_051,45,948,15,0.268,0
2025-11-22T12:49:47.110347+00:00,Narcotics Control,AREA_018,82,768,50,0.787,0
2025-11-16T04:42:47.110347+00:00,Ambulance,AREA_024,156,562,107,1.0,1
2025-11-15T08:27:47.110347+00:00,General Investigation,AREA_008,142,884,48,0.617,0
2025-11-30T20:55:47.110347+00:00,Ambulance,AREA_053,68,169,37,1.0,1
2025-11-15T14:32:47.110347+00:00,Ambulance,AREA_011,170,112,97,1.0,1
2025-11-21T16:14:47.110347+00:00,Narcotics Control,AREA_041,86,1114,23,0.238,0
2025-11-21T21:11:47.110347+00:00,General Investigation,AREA_050,68,495,74,1.0,1
2025-12-04T02:26:47.110347+00:00,Ambulance,AREA_055,105,760,88,1.0,1
2025-11-14T19:59:47.110347+00:00,Civil Defense,AREA_022,140,699,81,1.0,1
2025-11-14T12:18:47.110347+00:00,Police,AREA_052,11,279,37,1.0,1
2025-11-17T23:54:47.110347+00:00,Civil Defense,AREA_049,161,498,108,1.0,1
2025-11-26T20:54:47.110347+00:00,General Investigation,AREA_011,25,800,97,1.0,1
2025-11-14T03:44:47.110347+00:00,Civil Defense,AREA_049,104,206,32,1.0,1
2025-11-22T09:10:47.110347+00:00,Narcotics Control,AREA_059,123,958,4,0.192,0
2025-11-14T20:01:47.110347+00:00,National Guard,AREA_010,36,462,54,1.0,1
2025-11-28T14:39:47.110347+00:00,General Investigation,AREA_058,174,1012,42,0.624,0
2025-11-16T01:15:47.110347+00:00,Civil Defense,AREA_011,91,903,104,1.0,1
2025-11-24T10:45:47.110347+00:00,General Investigation,AREA_012,116,1060,85,0.918,1
2025-12-12T03:58:47.110347+00:00,Civil Defense,AREA_022,153,1051,30,0.65,0
2025-12-01T19:22:47.110347+00:00,Civil Defense,AREA_001,159,504,24,0.713,0
2025-11-23T08:27:47.110347+00:00,General Investigation,AREA_025,89,555,7,0.27,0
2025-11-23T18:40:47.110347+00:00,Civil Defense,AREA_031,168,131,102,1.0,1
2025-11-15T13:57:47.110347+00:00,Narcotics Control,AREA_022,158,558,89,1.0,1
2025-11-16T08:40:47.110347+00:00,General Investigation,AREA_012,87,570,19,0.139,0
2025-12-02T16:37:47.110347+00:00,Civil Defense,AREA_048,72,604,74,1.0,1
2025-11-26T07:03:47.110347+00:00,Narcotics Control,AREA_045,31,461,65,1.0,1
2025-11-30T21:59:47.110347+00:00,Ambulance,AREA_008,62,215,85,1.0,1
2025-11-21T04:54:47.110347+00:00,Narcotics Control,AREA_052,60,1001,72,0.778,0
2025-12-01T00:58:47.110347+00:00,Narcotics Control,AREA_049,178,849,6,0.097,0
2025-11-27T13:49:47.110347+00:00,Ambulance,AREA_026,172,88,106,1.0,1
2025-11-30T07:16:47.110347+00:00,Narcotics Control,AREA_035,38,186,114,1.0,1
2025-11-25T09:46:47.110347+00:00,Ambulance,AREA_059,151,775,79,1.0,1
2025-12-05T18:12:47.110347+00:00,Ambulance,AREA_011,171,563,78,1.0,1
2025-12-12T11:13:47.110347+00:00,National Guard,AREA_010,93,546,108,1.0,1
2025-12-11T03:09:47.110347+00:00,National Guard,AREA_034,117,542,85,1.0,1
2025-12-04T09:32:47.110347+00:00,Ambulance,AREA_010,57,750,111,1.0,1
2025-12-10T20:12:47.110347+00:00,General Investigation,AREA_011,76,761,97,1.0,1
2025-12-12T01:08:47.110347+00:00,Police,AREA_034,66,83,68,1.0,1
2025-11-25T03:33:47.110347+00:00,Ambulance,AREA_034,89,833,26,0.444,0
2025-11-26T03:22:47.110347+00:00,General Investigation,AREA_048,21,699,103,1.0,1
2025-11-30T14:19:47.110347+00:00,General Investigation,AREA_022,144,195,95,1.0,1
2025-12-05T04:48:47.110347+00:00,National Guard,AREA_053,179,402,116,1.0,1
2025-12-07T12:20:47.110347+00:00,General Investigation,AREA_032,76,1184,43,0.562,0
2025-11-20T17:56:47.110347+00:00,Narcotics Control,AREA_058,58,724,113,1.0,1
2025-12-10T10:45:47.110347+00:00,National Guard,AREA_011,158,1066,54,0.711,0
2025-11-19T02:05:47.110347+00:00,Narcotics Control,AREA_056,97,902,68,0.971,1
2025-12-01T08:17:47.110347+00:00,General Investigation,AREA_023,33,1178,102,1.0,1
2025-11-27T09:28:47.110347+00:00,Police,AREA_035,148,1023,62,0.9,1
2025-11-20T19:38:47.110347+00:00,General Investigation,AREA_045,43,221,65,1.0,1
2025-11-21T20:47:47.110347+00:00,Narcotics Control,AREA_050,24,1182,41,0.8,0
2025-11-22T04:49:47.110347+00:00,Ambulance,AREA_044,126,574,84,1.0,1
2025-12-08T20:47:47.110347+00:00,Ambulance,AREA_000,98,432,29,0.986,1
2025-12-08T08:03:47.110347+00:00,National Guard,AREA_013,40,124,62,1.0,1
2025-12-07T04:24:47.110347+00:00,General Investigation,AREA_032,72,347,98,1.0,1
2025-12-10T15:27:47.110347+00:00,General Investigation,AREA_056,156,265,65,1.0,1
2025-11-25T05:15:47.110347+00:00,Civil Defense,AREA_042,16,712,46,1.0,1
2025-12-10T18:24:47.110347+00:00,Narcotics Control,AREA_047,79,577,1,0.241,0
2025-12-05T15:51:47.110347+00:00,Narcotics Control,AREA_017,93,75,1,0.0,0
2025-11-30T00:46:47.110347+00:00,Ambulance,AREA_008,43,777,8,0.378,0
2025-12-05T06:49:47.110347+00:00,Civil Defense,AREA_047,25,1061,102,1.0,1
2025-11-25T00:24:47.110347+00:00,National Guard,AREA_021,114,791,55,0.911,1
2025-12-08T23:51:47.110347+00:00,Narcotics Control,AREA_049,64,214,99,1.0,1
2025-11-27T12:56:47.110347+00:00,Civil Defense,AREA_003,73,111,48,1.0,1
2025-12-06T06:01:47.110347+00:00,National Guard,AREA_026,12,1125,101,1.0,1
2025-11-15T18:24:47.110347+00:00,Police,AREA_032,60,829,104,1.0,1
2025-12-11T00:24:47.110347+00:00,Ambulance,AREA_019,23,865,61,0.75,0
2025-11-17T02:46:47.110347+00:00,Narcotics Control,AREA_000,70,160,0,0.184,0
2025-12-11T05:16:47.110347+00:00,Narcotics Control,AREA_039,101,752,47,1.0,1
2025-12-08T10:09:47.110347+00:00,Ambulance,AREA_016,153,129,29,1.0,1
2025-12-12T19:06:47.110347+00:00,Ambulance,AREA_020,96,221,98,1.0,1
2025-12-07T17:38:47.110347+00:00,Police,AREA_035,175,859,100,1.0,1
2025-12-09T19:25:47.110347+00:00,National Guard,AREA_002,100,797,86,1.0,1
2025-12-08T13:18:47.110347+00:00,Police,AREA_022,141,384,45,1.0,1
2025-12-03T21:30:47.110347+00:00,General Investigation,AREA_025,102,723,115,1.0,1
2025-12-01T19:51:47.110347+00:00,General Investigation,AREA_020,90,206,96,1.0,1
2025-11-18T21:23:47.110347+00:00,General Investigation,AREA_030,41,59,75,1.0,1
2025-11-19T19:19:47.110347+00:00,Narcotics Control,AREA_026,51,1175,41,0.663,0
2025-11-13T21:41:47.110347+00:00,Ambulance,AREA_058,160,528,62,1.0,1
2025-11-16T03:26:47.110347+00:00,General Investigation,AREA_015,64,581,6,0.27,0
2025-11-29T08:31:47.110347+00:00,Police,AREA_038,175,520,38,1.0,1
2025-11-18T15:03:47.110347+00:00,Narcotics Control,AREA_045,132,1143,89,0.869,1
2025-12-03T14:08:47.110347+00:00,General Investigation,AREA_003,41,159,34,1.0,1
2025-12-06T12:08:47.110347+00:00,Police,AREA_018,155,925,109,1.0,1
2025-11-19T21:52:47.110347+00:00,Police,AREA_001,102,649,63,1.0,1
2025-11-17T17:50:47.110347+00:00,General Investigation,AREA_049,10,702,25,0.691,0
2025-11-19T21:16:47.110347+00:00,Ambulance,AREA_008,30,1163,51,0.546,0
2025-12-06T02:08:47.110347+00:00,Narcotics Control,AREA_006,151,474,71,1.0,1
2025-11-18T04:28:47.110347+00:00,Police,AREA_042,68,524,62,1.0,1
2025-12-12T10:01:47.110347+00:00,Police,AREA_026,176,1039,92,1.0,1
2025-11-24T16:21:47.110347+00:00,Ambulance,AREA_043,102,813,60,0.978,1
2025-12-10T14:07:47.110347+00:00,General Investigation,AREA_053,36,118,81,1.0,1
2025-11-26T13:01:47.110347+00:00,National Guard,AREA_026,17,140,79,1.0,1
2025-12-01T01:24:47.110347+00:00,General Investigation,AREA_057,114,530,11,0.475,0
2025-12-09T17:53:47.110347+00:00,Police,AREA_049,112,297,59,1.0,1
2025-12-07T19:39:47.110347+00:00,Ambulance,AREA_037,98,257,31,1.0,1
2025-11-18T23:42:47.110347+00:00,Ambulance,AREA_053,35,473,115,1.0,1
2025-12-04T13:38:47.110347+00:00,Narcotics Control,AREA_021,107,800,20,0.36,0
2025-11-16T12:39:47.110347+00:00,Narcotics Control,AREA_013,151,1117,102,1.0,1
2025-11-23T18:53:47.110347+00:00,National Guard,AREA_026,166,930,117,1.0,1
2025-11-17T03:32:47.110347+00:00,Police,AREA_020,33,205,51,1.0,1
2025-12-07T23:55:47.110347+00:00,Narcotics Control,AREA_011,55,137,106,1.0,1
2025-11-15T14:19:47.110347+00:00,General Investigation,AREA_055,54,328,101,1.0,1
2025-11-21T15:42:47.110347+00:00,Police,AREA_033,179,995,117,1.0,1
2025-12-08T10:27:47.110347+00:00,Ambulance,AREA_028,15,1155,4,0.448,0
2025-12-01T19:47:47.110347+00:00,National Guard,AREA_045,23,154,57,1.0,1
2025-11-30T10:37:47.110347+00:00,Police,AREA_017,58,1169,61,0.599,0
2025-12-03T01:12:47.110347+00:00,General Investigation,AREA_018,167,937,76,1.0,1
2025-11-23T23:20:47.110347+00:00,Ambulance,AREA_006,166,62,85,1.0,1
2025-11-28T04:52:47.110347+00:00,Narcotics Control,AREA_036,55,113,47,1.0,1
2025-12-09T02:51:47.110347+00:00,Ambulance,AREA_029,160,156,103,1.0,1
2025-11-30T10:21:47.110347+00:00,Civil Defense,AREA_012,71,595,96,1.0,1
2025-12-12T08:30:47.110347+00:00,National Guard,AREA_046,47,1041,101,1.0,1
2025-11-30T22:18:47.110347+00:00,National Guard,AREA_009,174,1189,10,0.081,0
2025-11-30T18:36:47.110347+00:00,General Investigation,AREA_019,149,923,1,0.344,0
2025-11-20T11:59:47.110347+00:00,Civil Defense,AREA_034,135,1167,21,0.555,0
2025-11-23T10:54:47.110347+00:00,Police,AREA_018,154,132,118,1.0,1
2025-12-09T08:51:47.110347+00:00,Police,AREA_055,49,331,109,1.0,1
2025-11-20T01:19:47.110347+00:00,National Guard,AREA_054,99,853,111,1.0,1
2025-12-12T19:29:47.110347+00:00,General Investigation,AREA_044,130,1185,114,1.0,1
2025-12-10T21:24:47.110347+00:00,Ambulance,AREA_029,84,1129,37,0.515,0
2025-12-10T16:33:47.110347+00:00,Police,AREA_047,74,408,110,1.0,1
2025-11-29T14:42:47.110347+00:00,Narcotics Control,AREA_030,65,73,33,1.0,1
2025-12-12T03:14:47.110347+00:00,Ambulance,AREA_030,35,1013,52,0.825,0
2025-12-04T20:57:47.110347+00:00,Police,AREA_020,131,359,79,1.0,1
2025-12-01T03:15:47.110347+00:00,National Guard,AREA_033,11,543,17,0.435,0
2025-11-17T14:33:47.110347+00:00,Ambulance,AREA_057,175,474,11,0.52,0
2025-11-25T21:34:47.110347+00:00,Civil Defense,AREA_006,92,837,89,1.0,1
2025-11-23T01:31:47.110347+00:00,Narcotics Control,AREA_018,173,657,66,1.0,1
2025-12-10T20:02:47.110347+00:00,Ambulance,AREA_037,24,1058,92,1.0,1
2025-11-17T17:33:47.110347+00:00,Civil Defense,AREA_033,112,301,10,0.558,0
2025-11-30T11:38:47.110347+00:00,General Investigation,AREA_020,166,751,115,1.0,1
2025-11-28T12:01:47.110347+00:00,Civil Defense,AREA_033,97,370,16,0.665,0
2025-12-03T21:30:47.110347+00:00,Narcotics Control,AREA_045,166,189,39,1.0,1
2025-11-21T00:39:47.110347+00:00,Ambulance,AREA_044,178,1117,38,0.264,0
2025-11-23T23:44:47.110347+00:00,Narcotics Control,AREA_057,145,763,63,1.0,1
2025-11-24T07:48:47.110347+00:00,Police,AREA_038,47,741,95,1.0,1
2025-12-01T13:12:47.110347+00:00,National Guard,AREA_048,55,338,56,1.0,1
2025-11-16T20:09:47.110347+00:00,Police,AREA_027,146,1179,4,0.093,0
2025-12-10T07:14:47.110347+00:00,Ambulance,AREA_055,80,896,21,0.3,0
2025-11-16T07:48:47.110347+00:00,Narcotics Control,AREA_011,57,599,60,1.0,1
2025-11-22T00:13:47.110347+00:00,General Investigation,AREA_046,138,92,10,1.0,1
2025-11-28T19:45:47.110347+00:00,General Investigation,AREA_037,58,544,116,1.0,1
2025-11-21T06:17:47.110347+00:00,National Guard,AREA_037,126,221,24,1.0,1
2025-12-12T05:41:47.110347+00:00,Narcotics Control,AREA_057,45,415,20,0.901,1
2025-11-17T17:53:47.110347+00:00,Police,AREA_047,11,249,42,1.0,1
2025-11-24T03:56:47.110347+00:00,General Investigation,AREA_027,150,49,63,1.0,1
2025-12-04T09:38:47.110347+00:00,Civil Defense,AREA_058,157,311,110,1.0,1
2025-12-06T14:26:47.110347+00:00,Ambulance,AREA_036,36,473,51,1.0,1
2025-12-10T15:20:47.110347+00:00,Police,AREA_013,158,844,50,0.686,0
2025-12-07T19:21:47.110347+00:00,Ambulance,AREA_003,98,1051,61,0.903,1
2025-11-20T19:28:47.110347+00:00,Ambulance,AREA_055,49,511,50,1.0,1
2025-11-28T10:09:47.110347+00:00,National Guard,AREA_012,110,138,48,1.0,1
2025-11-30T12:06:47.110347+00:00,National Guard,AREA_020,85,179,40,1.0,1
2025-11-30T19:48:47.110347+00:00,Police,AREA_003,142,332,90,1.0,1
2025-11-30T22:59:47.110347+00:00,Civil Defense,AREA_055,46,978,97,1.0,1
2025-12-04T07:50:47.110347+00:00,National Guard,AREA_025,170,651,21,0.318,0
2025-12-02T23:32:47.110347+00:00,Police,AREA_059,84,1071,34,0.519,0
2025-11-25T01:19:47.110347+00:00,National Guard,AREA_043,72,468,75,1.0,1
2025-11-15T19:15:47.110347+00:00,Ambulance,AREA_030,80,783,79,1.0,1
2025-11-26T09:18:47.110347+00:00,Police,AREA_025,16,976,80,1.0,1
2025-11-27T02:00:47.110347+00:00,Ambulance,AREA_002,144,1195,77,0.954,1
2025-11-18T16:01:47.110347+00:00,General Investigation,AREA_041,94,450,21,0.726,0
2025-11-21T00:53:47.110347+00:00,Ambulance,AREA_040,116,349,28,1.0,1
2025-11-29T21:18:47.110347+00:00,Civil Defense,AREA_048,161,876,81,1.0,1
2025-11-16T19:00:47.110347+00:00,Civil Defense,AREA_051,170,1123,41,0.224,0
2025-11-30T03:10:47.110347+00:00,Civil Defense,AREA_042,111,108,105,1.0,1
2025-11-17T03:40:47.110347+00:00,Police,AREA_006,59,395,11,0.393,0
2025-11-28T12:36:47.110347+00:00,General Investigation,AREA_008,72,625,64,1.0,1
2025-11-15T00:56:47.110347+00:00,Civil Defense,AREA_004,28,468,8,0.359,0
2025-12-02T23:48:47.110347+00:00,Civil Defense,AREA_052,89,976,95,1.0,1
2025-11-19T18:53:47.110347+00:00,Ambulance,AREA_033,114,1099,39,0.555,0
2025-12-10T16:13:47.110347+00:00,National Guard,AREA_012,107,259,30,1.0,1
2025-12-10T12:06:47.110347+00:00,Police,AREA_004,11,363,58,1.0,1
2025-11-22T21:39:47.110347+00:00,Civil Defense,AREA_026,33,287,5,0.379,0
2025-12-09T02:11:47.110347+00:00,General Investigation,AREA_020,81,820,110,1.0,1
2025-11-14T00:37:47.110347+00:00,National Guard,AREA_055,145,40,3,0.986,1
2025-12-01T18:52:47.110347+00:00,National Guard,AREA_048,104,313,40,1.0,1
