unit_id,skill_name,proficiency_level,years_experience,incidents_handled_count,success_rate
U047255,fire_response,5,6.56,336,0.697
U028934,tactical,1,13.34,233,0.83
U038951,weapons,3,8.2,290,0.818
U005500,rescue,4,13.62,93,0.872
U008544,medical_emergency,1,11.3,191,0.997
U035069,weapons,1,13.37,227,0.894
U014864,drug_raid,4,6.83,35,0.572
U025977,drug_raid,5,4.99,114,0.78
U043042,hostage,1,12.33,146,0.751
U006099,weapons,2,1.4,192,0.707
U046003,traffic_control,3,9.83,2,1.0
U044679,traffic_control,3,0.71,370,0.689
U045634,medical_emergency,1,4.58,338,0.705
U024601,traffic_control,5,11.69,305,0.773
U023120,tactical,2,14.77,221,0.821
U010448,hostage,4,1.1,102,0.786
U019101,drug_raid,1,0.03,243,0.608
U025822,rescue,2,0.2,168,0.627
U004012,crowd_control,3,7.68,289,0.955
U039730,rescue,5,7.38,165,0.8
U023498,triage,3,3.75,186,1.0
U013402,tactical,5,14.2,101,0.721
U043075,drug_raid,5,1.54,256,0.744
U011381,traffic_control,3,10.91,13,0.693
U005102,crowd_control,3,13.6,229,0.736
U001471,investigation,4,7.87,123,0.624
U022921,fire_response,5,0.2,85,0.574
U023398,traffic_control,1,11.95,354,0.636
U024086,tactical,2,4.64,130,0.76
U020965,rescue,3,14.77,213,0.795
U045359,negotiation,4,5.18,198,0.77
U026022,weapons,3,3.73,194,0.901
U037684,triage,1,3.91,184,0.786
U042129,weapons,3,5.96,260,0.62
U030689,investigation,3,4.98,137,0.884
U030653,drug_raid,5,4.83,348,0.664
U025864,weapons,4,2.16,387,0.728
U010722,traffic_control,3,1.17,162,0.816
U012369,triage,5,5.1,325,0.895
U012259,drug_raid,3,6.99,306,0.849
U011139,medical_emergency,3,12.22,132,0.703
U009727,hostage,2,3.38,102,0.628
U011827,negotiation,4,3.0,371,0.829
U024448,investigation,2,8.29,87,0.596
U012483,fire_response,2,5.58,322,0.527
U001613,drug_raid,5,2.28,59,0.568
U002782,hostage,2,0.91,79,1.0
U048288,hostage,4,14.87,196,0.923
U046272,crowd_control,2,10.16,94,0.657
U029304,weapons,2,5.82,388,0.766
U025185,negotiation,3,11.53,207,0.719
U038028,investigation,1,13.95,336,0.989
U007322,negotiation,2,9.97,219,0.745
U027223,investigation,3,0.71,62,1.0
U016822,investigation,3,12.57,158,0.531
U014668,rescue,2,8.09,15,0.644
U022255,investigation,1,12.81,122,0.979
U013476,investigation,5,2.51,353,0.61
U035903,traffic_control,3,9.02,189,0.556
U036131,negotiation,3,13.25,282,0.499
U013744,investigation,5,7.06,38,0.616
U002226,drug_raid,5,9.19,216,0.598
U045683,triage,4,8.89,368,0.929
U032427,fire_response,4,6.45,169,0.756
U014871,traffic_control,4,14.77,218,0.599
U039165,drug_raid,4,13.47,122,0.8
U042144,investigation,5,7.62,307,0.774
U037352,fire_response,5,8.61,87,0.984
U005261,traffic_control,4,10.95,223,0.795
U006259,negotiation,1,2.53,41,0.88
U020370,tactical,2,5.27,92,1.0
U021614,negotiation,4,5.47,225,0.544
U037952,triage,2,0.76,279,0.782
U044148,tactical,2,12.85,228,1.0
U023866,drug_raid,4,4.37,348,0.517
U041559,medical_emergency,5,8.36,394,1.0
U049904,investigation,2,13.86,375,0.69
U027204,rescue,5,5.27,169,0.714
U048853,weapons,2,0.94,188,0.728
U021922,fire_response,3,9.77,248,0.786
U042514,tactical,1,2.26,396,1.0
U008045,weapons,5,12.16,375,0.856
U043939,weapons,1,14.81,226,0.578
U039324,investigation,4,7.92,32,0.807
U044487,investigation,4,11.79,162,0.625
U005268,traffic_control,4,2.07,69,0.902
U006529,hostage,2,3.72,324,0.898
U000168,investigation,3,9.14,125,0.595
U024833,fire_response,5,4.78,42,0.85
U033593,investigation,2,3.91,160,0.825
U016351,traffic_control,5,14.06,266,0.69
U000516,crowd_control,5,2.85,392,0.747
U047671,weapons,1,14.21,389,0.855
U034207,traffic_control,3,13.0,358,0.857
U032154,weapons,2,7.16,316,0.859
U023494,investigation,3,9.67,109,0.748
U034270,weapons,5,2.69,168,0.665
U023212,triage,5,13.38,368,0.847
U016532,fire_response,1,14.6,81,0.861
U012064,weapons,2,7.1,135,0.775
U009780,medical_emergency,4,4.07,255,0.742
U014211,negotiation,1,9.98,356,0.831
U048159,investigation,1,13.18,30,0.921
U007408,medical_emergency,3,1.31,36,0.855
U024050,weapons,2,3.83,331,0.675
U022312,traffic_control,1,13.25,91,0.683
U025705,drug_raid,1,2.91,112,0.544
U016070,rescue,2,6.16,337,0.613
U034007,medical_emergency,4,9.27,360,0.865
U020364,rescue,1,5.05,65,0.716
U047383,drug_raid,2,12.37,180,0.677
U024954,rescue,5,10.48,349,0.911
U010749,tactical,2,13.21,29,0.736
U037940,drug_raid,3,1.36,267,0.797
U032765,medical_emergency,4,12.67,238,0.754
U014418,rescue,3,7.63,91,0.932
U002396,rescue,2,1.93,85,0.746
U048182,rescue,3,12.9,357,0.769
U001360,rescue,4,11.2,256,0.637
U033098,rescue,1,2.85,327,0.902
U048202,tactical,5,9.02,239,0.758
U000945,medical_emergency,1,3.3,370,0.704
U007307,drug_raid,5,12.33,160,0.69
U042725,investigation,5,3.48,370,0.955
U028419,rescue,3,9.93,19,0.982
U044948,tactical,5,7.04,342,0.798
U016843,medical_emergency,1,6.1,157,0.895
U034784,investigation,4,1.11,30,0.861
U015410,fire_response,3,2.39,386,0.933
U015527,triage,2,9.16,388,0.763
U042893,traffic_control,2,0.58,380,0.689
U002306,investigation,3,6.15,310,1.0
U016101,fire_response,2,11.36,64,0.749
U040169,medical_emergency,4,5.88,205,0.586
U009599,rescue,4,3.21,355,0.673
U024781,rescue,4,11.9,155,0.726
U017512,negotiation,3,3.43,227,0.806
U045177,traffic_control,5,4.7,16,0.716
U011018,hostage,3,13.82,94,0.94
U024487,crowd_control,1,13.17,0,0.829
U009883,rescue,4,5.49,145,0.694
U015164,weapons,4,5.78,390,0.892
U048682,fire_response,3,14.39,198,0.78
U041840,traffic_control,4,2.98,31,0.73
U012419,drug_raid,2,3.44,78,0.806
U037712,fire_response,1,3.27,59,0.63
U036847,traffic_control,1,5.78,357,0.677
U033477,investigation,1,0.11,11,0.749
U016996,negotiation,1,3.43,315,0.817
U039523,weapons,3,9.04,192,0.534
U041678,triage,3,6.52,176,0.583
U005004,fire_response,3,6.61,56,0.618
U001669,medical_emergency,4,2.12,85,0.69
U015591,negotiation,5,13.82,112,0.651
U036228,drug_raid,2,10.95,389,0.889
U048142,tactical,1,14.83,363,0.897
U040850,weapons,2,5.35,213,1.0
U030368,triage,4,1.61,187,0.823
U033037,drug_raid,3,13.0,90,0.639
U039886,drug_raid,1,13.75,317,0.74
U049365,weapons,2,8.71,392,0.907
U009412,hostage,5,1.54,341,0.932
U031625,hostage,1,6.3,205,0.855
U040545,fire_response,2,4.28,315,0.73
U007577,traffic_control,3,13.51,395,0.959
U022548,tactical,4,0.46,351,0.883
U036515,rescue,3,3.37,377,0.523
U038177,fire_response,5,14.78,220,0.665
U020704,hostage,2,14.17,108,0.722
U011613,drug_raid,1,1.55,112,0.933
U037983,negotiation,4,5.98,359,0.579
U024347,crowd_control,1,2.14,41,0.84
U037770,weapons,1,3.77,292,0.838
U018384,investigation,2,0.64,65,0.58
U032792,negotiation,1,6.64,297,0.874
U012519,traffic_control,3,5.06,190,0.631
U047423,medical_emergency,4,6.66,270,0.743
U046766,negotiation,1,4.3,297,0.625
U004602,drug_raid,3,2.01,190,0.929
U000059,medical_emergency,4,7.2,73,0.956
U015456,traffic_control,4,0.17,393,0.877
U014525,traffic_control,1,1.75,301,0.908
U009624,drug_raid,1,13.87,348,0.673
U033401,rescue,1,8.64,270,0.796
U021804,fire_response,4,14.08,156,0.848
U032886,crowd_control,1,6.85,174,0.85
U042701,hostage,1,14.9,35,0.464
U005822,negotiation,3,14.51,347,0.537
U022995,traffic_control,3,6.93,224,0.707
U000071,negotiation,3,5.2,273,0.934
U013225,negotiation,1,1.78,165,0.784
U040921,triage,3,10.35,95,0.725
U003978,fire_response,2,4.94,15,0.843
U041529,negotiation,2,14.64,281,0.523
U036345,tactical,4,13.17,212,0.717
U035869,investigation,1,0.12,97,0.832
U008185,weapons,2,6.6,324,0.754
U047887,fire_response,4,6.39,302,0.809
U046454,traffic_control,5,1.52,62,0.74
U014361,traffic_control,2,5.96,2,0.78
U007728,traffic_control,3,9.62,136,0.635
U022234,crowd_control,3,5.41,94,0.795
U045246,tactical,3,2.17,5,0.886
U002737,rescue,5,1.05,185,0.706
U004555,hostage,2,11.46,159,1.0
U037058,hostage,3,6.83,369,0.651
U027485,investigation,4,7.68,369,0.708
U019000,medical_emergency,1,2.47,61,0.547
U023040,fire_response,3,14.5,368,0.692
U023355,triage,1,4.15,392,0.918
U033789,fire_response,1,8.58,135,0.696
U034045,drug_raid,4,4.25,205,0.775
U035853,hostage,3,6.9,244,0.708
U048960,investigation,5,8.71,156,0.787
U037310,hostage,1,14.07,2,0.775
U028527,negotiation,4,14.16,66,0.676
U012754,hostage,3,8.57,30,0.518
U027478,weapons,4,9.5,22,0.605
U008824,fire_response,5,5.82,175,0.843
U049649,negotiation,2,0.18,80,0.601
U029733,crowd_control,2,1.87,139,0.856
U032664,medical_emergency,3,9.16,297,0.845
U028102,drug_raid,1,12.11,233,0.488
U049741,fire_response,1,8.85,166,0.849
U031985,traffic_control,3,13.1,292,0.581
U048487,fire_response,1,13.8,34,0.78
U039730,drug_raid,4,13.07,300,0.78
U026332,hostage,3,7.12,192,0.656
U008431,hostage,4,5.86,287,0.8
U031805,triage,2,11.58,262,0.852
U006231,crowd_control,3,11.49,351,0.848
U012514,drug_raid,5,2.01,255,0.504
U031062,medical_emergency,2,12.56,263,0.733
U018571,rescue,3,12.33,286,0.859
U019482,triage,1,3.5,30,0.778
U020746,triage,5,14.08,13,0.615
U028741,triage,1,11.77,14,0.531
U019732,drug_raid,4,12.41,377,0.701
U024553,investigation,2,6.38,376,0.529
U035915,drug_raid,5,1.17,390,0.665
U011978,traffic_control,3,14.71,3,0.696
U048354,crowd_control,5,4.27,379,0.808
U024250,investigation,4,1.65,151,0.754
U026040,negotiation,2,7.14,303,0.862
U001091,hostage,5,11.29,373,0.771
U037608,medical_emergency,3,11.8,338,0.698
U026163,fire_response,5,6.45,346,0.64
U034100,medical_emergency,1,9.57,255,0.745
U035736,tactical,2,8.56,395,0.76
U013631,negotiation,2,6.65,249,0.573
U005549,crowd_control,2,3.27,366,0.826
U038713,crowd_control,1,2.98,152,0.645
U007352,negotiation,3,14.41,235,0.635
U037627,tactical,3,4.82,124,0.502
U022129,drug_raid,2,12.29,245,0.905
U013220,weapons,2,7.02,150,0.763
U042088,tactical,2,13.31,253,0.799
U039447,crowd_control,3,10.03,52,0.591
U035306,weapons,2,13.39,63,1.0
U016724,crowd_control,5,12.56,214,0.7
U024102,fire_response,5,6.28,16,0.883
U027956,negotiation,5,2.99,237,0.515
U043989,drug_raid,3,4.68,323,0.783
U041764,medical_emergency,2,13.43,51,0.657
U012964,negotiation,2,14.82,241,0.653
U005902,drug_raid,1,2.86,326,0.829
U044766,medical_emergency,1,2.55,310,0.614
U015084,triage,2,10.62,186,1.0
U006721,rescue,3,7.08,212,0.384
U037413,tactical,5,10.24,358,0.628
U030805,crowd_control,4,4.43,240,0.46
U043712,weapons,2,13.84,297,0.625
U001560,negotiation,3,5.65,183,0.904
U044370,weapons,3,2.59,368,0.534
U037200,weapons,2,2.06,41,0.867
U032681,rescue,5,9.01,318,0.69
U017974,hostage,2,0.39,121,0.795
U017434,investigation,3,3.64,33,0.751
U027151,negotiation,5,4.52,280,0.616
U032467,fire_response,5,10.63,104,0.79
U034492,triage,3,10.78,204,0.984
U007835,hostage,4,6.0,231,0.899
U024359,fire_response,1,8.57,360,0.833
U008423,tactical,2,10.72,285,0.856
U024878,crowd_control,3,3.69,281,0.665
U012333,traffic_control,2,3.64,299,0.79
U035686,drug_raid,2,3.12,156,1.0
U014215,triage,4,13.13,91,0.975
U001449,tactical,1,10.25,140,0.768
U016760,triage,5,7.01,202,0.894
U033976,rescue,5,3.02,292,0.798
U046773,drug_raid,1,12.18,395,0.675
U002342,triage,2,9.11,159,0.649
U043137,negotiation,4,11.5,124,0.705
U026948,crowd_control,2,11.73,12,0.86
U008505,hostage,4,3.06,210,0.548
U010223,hostage,4,5.32,88,0.783
U004166,investigation,5,7.71,305,0.644
U037853,fire_response,2,4.39,190,0.862
U017025,fire_response,4,11.66,77,0.657
U004428,medical_emergency,1,12.4,62,0.672
U022576,medical_emergency,2,0.42,204,0.787
U020508,hostage,5,7.18,44,0.701
U015218,fire_response,4,2.76,223,0.895
U000936,rescue,1,1.39,90,0.835
U024197,negotiation,4,7.69,191,0.559
U039162,crowd_control,1,11.62,342,0.444
U038713,medical_emergency,4,9.26,129,0.856
U039430,crowd_control,3,7.15,255,0.71
U046935,hostage,5,4.19,255,0.609
U017911,triage,4,9.51,21,0.822
U006748,tactical,3,6.94,234,0.781
U049472,negotiation,1,0.26,221,0.953
U007952,tactical,3,4.07,334,0.876
U042908,triage,3,8.8,111,0.922
U039159,drug_raid,5,12.7,199,0.531
U042021,rescue,5,4.99,58,0.673
U012572,drug_raid,3,14.49,373,0.756
U026451,negotiation,5,10.89,200,0.646
U040176,fire_response,3,5.03,166,0.816
U038451,traffic_control,2,14.48,158,0.796
U039551,rescue,2,2.48,232,0.625
U037535,medical_emergency,2,7.11,185,0.679
U026172,weapons,1,0.91,193,0.83
U017026,hostage,2,6.84,216,0.749
U036327,traffic_control,3,10.68,197,0.641
U002787,weapons,5,14.77,399,0.845
U047217,drug_raid,3,9.34,113,0.838
U007768,tactical,1,0.05,261,0.646
U046455,investigation,5,8.66,124,0.348
U019150,traffic_control,3,0.25,259,0.487
U010915,negotiation,3,6.16,395,0.746
U036380,traffic_control,5,8.4,390,0.893
U019256,drug_raid,2,4.07,173,0.559
U037801,negotiation,2,11.82,92,0.678
U002831,weapons,1,0.96,154,0.72
U047843,tactical,2,12.52,328,0.593
U004524,traffic_control,4,7.89,285,0.834
U013979,rescue,5,13.17,246,0.855
U043476,negotiation,5,6.83,376,0.554
U022586,tactical,3,8.69,354,0.601
U009956,tactical,4,3.41,25,0.526
U019184,crowd_control,1,8.45,0,0.785
U031144,negotiation,2,6.55,249,0.676
U016110,investigation,2,10.48,109,0.647
U047645,investigation,3,3.88,371,0.774
U019187,rescue,4,9.15,134,0.851
U025574,tactical,4,9.05,184,0.663
U013684,triage,1,11.01,18,0.556
U007899,drug_raid,1,2.36,192,0.639
U005253,weapons,3,12.73,206,0.723
U009703,crowd_control,4,5.21,161,0.804
U043651,drug_raid,2,1.29,94,0.651
U041174,weapons,4,6.23,162,0.734
U018579,investigation,4,5.47,9,0.57
U018901,triage,3,3.18,203,0.68
U014482,weapons,4,7.54,237,0.777
U028604,hostage,2,12.04,69,0.703
U008681,fire_response,5,12.53,212,0.711
U015728,traffic_control,4,3.22,197,0.897
U017313,tactical,5,3.96,339,0.823
U002188,fire_response,5,1.9,146,0.856
U009561,drug_raid,3,12.83,398,0.891
U024843,rescue,1,8.11,274,0.479
U048529,negotiation,4,11.41,391,0.302
U044744,traffic_control,2,7.11,142,0.792
U048765,crowd_control,1,3.65,363,0.517
U039120,triage,3,8.88,61,0.693
U023606,triage,1,9.91,92,0.628
U022973,traffic_control,1,12.05,32,0.577
U012451,hostage,2,8.55,71,0.451
U026958,tactical,4,0.02,383,0.681
U048889,tactical,3,10.83,311,0.84
U037497,drug_raid,1,12.17,86,0.771
U047406,traffic_control,4,0.63,315,0.315
U014508,crowd_control,3,0.12,247,0.622
U031090,fire_response,1,12.35,155,0.592
U039663,negotiation,4,2.57,11,0.56
U038291,tactical,5,14.1,246,0.727
U016084,rescue,5,10.45,159,0.881
U038634,fire_response,3,2.47,53,0.467
U024314,weapons,3,7.84,327,0.727
U009789,traffic_control,1,12.65,311,0.845
U032758,fire_response,4,7.85,315,0.888
U023399,rescue,2,7.45,379,0.626
U019883,rescue,3,3.67,393,0.395
U039453,rescue,2,9.93,33,0.813
U021176,triage,2,5.7,324,0.535
U004600,hostage,4,12.11,127,0.659
U032684,rescue,3,8.58,265,0.73
U046992,tactical,2,13.11,37,0.849
U043094,triage,4,6.38,213,0.631
U028253,weapons,2,4.86,198,0.661
U020764,drug_raid,2,8.87,302,0.793
U020359,traffic_control,1,5.96,365,1.0
U024918,negotiation,5,13.04,8,0.765
U041431,negotiation,5,3.83,291,0.624
U019264,drug_raid,4,7.86,168,0.551
U007850,triage,3,14.15,181,0.704
U008828,drug_raid,1,11.04,330,0.721
U049911,traffic_control,5,0.41,87,0.509
U045970,crowd_control,2,3.53,104,0.875
U045788,investigation,2,0.53,353,0.66
U047796,medical_emergency,1,7.37,57,0.622
U044344,triage,4,4.46,252,0.716
U049881,hostage,1,4.02,202,0.645
U029380,rescue,2,9.93,90,0.582
U003795,rescue,2,12.07,94,0.534
U040098,rescue,5,13.02,173,0.793
U034003,weapons,3,10.64,8,0.355
U014479,crowd_control,1,13.92,32,0.79
U018328,medical_emergency,2,2.95,34,0.648
U001545,fire_response,5,12.75,313,0.658
U006504,negotiation,5,4.25,355,0.977
U018666,fire_response,5,9.46,91,0.966
U015851,rescue,1,3.44,184,0.71
U002505,traffic_control,2,7.53,19,0.627
U032952,crowd_control,1,4.71,105,0.971
U028137,traffic_control,3,13.61,280,0.55
U031892,crowd_control,3,3.25,302,0.79
U001451,investigation,5,13.58,194,0.83
U003729,drug_raid,3,5.91,377,1.0
U038311,negotiation,2,13.2,229,0.715
U024231,triage,4,6.64,102,0.756
U035553,traffic_control,2,13.99,263,0.735
U036851,investigation,2,9.98,315,0.798
U044745,rescue,5,8.32,326,0.854
U029759,hostage,5,12.06,115,0.851
U028579,weapons,3,6.38,103,0.693
U018104,medical_emergency,4,5.58,128,0.571
U009443,drug_raid,2,11.34,194,0.618
U038077,traffic_control,3,2.62,171,0.871
U013469,drug_raid,1,11.42,369,0.408
U012538,weapons,2,5.03,114,0.428
U000355,negotiation,2,6.0,159,0.937
U045580,rescue,3,0.88,339,0.637
U025618,rescue,3,7.54,185,0.698
U047485,triage,3,3.28,280,1.0
U033890,drug_raid,3,4.5,208,0.783
U037337,rescue,1,9.97,365,0.773
U014756,hostage,3,6.42,126,0.766
U038280,crowd_control,5,12.7,376,0.565
U017026,crowd_control,2,14.54,128,0.859
U042592,hostage,2,7.1,73,0.798
U044404,hostage,4,9.25,287,0.898
U018928,weapons,1,11.57,129,0.86
U025171,rescue,4,11.16,250,0.788
U013941,fire_response,1,13.22,302,0.47
U004581,hostage,1,9.56,79,0.662
U018524,negotiation,4,8.05,398,0.756
U031388,medical_emergency,4,9.97,384,1.0
U035272,triage,2,0.68,104,0.806
U000561,crowd_control,3,3.31,115,0.706
U046347,weapons,2,6.32,6,0.633
U043831,investigation,5,3.96,350,1.0
U037924,hostage,3,2.15,204,0.936
U007094,hostage,5,12.81,282,0.529
U004390,fire_response,3,2.65,155,0.824
U009970,traffic_control,4,12.44,368,0.681
U045463,weapons,2,7.19,357,0.591
U033532,tactical,4,13.14,237,0.931
U007962,hostage,3,6.53,227,0.769
U029615,traffic_control,4,10.41,241,0.777
U022913,medical_emergency,1,3.47,105,0.636
U012952,drug_raid,3,2.99,369,0.882
U000513,negotiation,4,10.42,109,0.81
U025724,investigation,1,8.16,174,0.729
U013101,hostage,4,2.16,276,1.0
U016686,hostage,4,12.38,80,0.943
U014926,traffic_control,1,0.85,46,0.849
U045524,crowd_control,1,13.29,97,0.928
U019309,medical_emergency,2,7.48,93,0.914
U025196,negotiation,2,2.76,298,0.677
U044382,medical_emergency,1,14.96,330,0.823
U040610,hostage,3,12.97,75,0.56
U004147,crowd_control,2,3.33,256,0.769
U040335,drug_raid,5,14.08,381,0.771
U046700,tactical,5,11.88,296,0.639
U029990,weapons,5,7.57,364,0.841
U047815,rescue,2,14.74,16,0.801
U015514,rescue,1,11.06,35,0.83
U036816,investigation,5,9.17,382,0.777
U012967,triage,4,1.18,1,0.702
U007333,traffic_control,3,1.3,319,0.632
U020019,negotiation,5,8.45,77,0.675
U018327,traffic_control,2,1.7,152,0.678
U036090,investigation,1,3.53,339,0.699
U047000,drug_raid,1,4.34,119,0.6
U012880,tactical,2,4.61,340,0.606
U006068,tactical,4,7.16,196,0.497
U000305,triage,3,3.6,3,0.715
U022693,tactical,4,13.91,212,0.724
U010247,hostage,1,0.76,266,0.694
U022077,medical_emergency,4,4.15,266,0.573
U007716,hostage,4,2.76,157,0.867
U008667,negotiation,2,14.71,164,0.62
U009939,rescue,3,7.11,305,0.751
U013529,tactical,2,11.93,228,0.83
U025910,investigation,2,4.48,178,0.91
U005686,investigation,2,2.01,303,0.624
U005416,medical_emergency,2,1.07,367,0.545
U035746,fire_response,1,6.29,305,0.624
U018558,medical_emergency,3,3.25,315,0.866
U001767,triage,3,8.1,70,0.927
U001621,tactical,3,12.06,89,0.74
U021377,traffic_control,5,8.33,357,0.856
U033958,hostage,3,3.68,395,0.709
U030926,fire_response,3,11.26,108,0.758
U025689,weapons,1,0.1,155,0.712
U003046,negotiation,5,7.12,14,0.997
U024839,fire_response,1,8.67,101,0.841
U044928,weapons,2,9.91,97,0.81
U006772,triage,5,8.68,200,0.776
U036567,tactical,1,9.5,50,0.837
U004839,weapons,5,2.03,42,0.718
U044233,investigation,2,6.28,82,0.71
U020765,drug_raid,2,11.82,253,0.788
U045786,rescue,2,8.32,95,0.592
U041950,traffic_control,1,2.71,393,0.76
U025462,drug_raid,5,8.03,333,0.845
U019499,triage,2,5.38,67,0.748
U033430,weapons,1,7.72,202,0.872
U031047,fire_response,1,8.52,381,0.909
U021607,hostage,2,0.64,325,0.692
U028308,tactical,4,3.35,300,0.931
U048469,hostage,4,14.2,369,0.625
U014842,drug_raid,2,3.62,19,0.91
U020520,medical_emergency,2,11.79,133,0.555
U020994,tactical,4,6.68,4,0.733
U038868,tactical,1,1.79,189,0.712
U021358,weapons,5,10.75,152,0.867
U038870,drug_raid,2,1.75,364,0.782
U029429,investigation,3,6.24,204,0.732
U043300,investigation,2,0.98,229,0.69
U045652,investigation,4,14.35,200,0.787
U045269,triage,1,10.02,225,0.684
U022584,negotiation,5,8.26,62,0.65
U007839,drug_raid,2,2.98,43,0.663
U032486,medical_emergency,4,4.22,294,0.557
U019333,tactical,4,5.56,49,0.704
U011562,negotiation,1,13.84,348,0.943
U000889,medical_emergency,5,10.72,50,0.902
U040559,fire_response,2,4.29,122,1.0
U049606,crowd_control,5,7.39,269,0.872
U001016,negotiation,5,14.13,314,0.517
U033599,weapons,4,11.86,224,0.832
U023602,fire_response,2,3.23,367,0.673
U024288,investigation,5,4.1,119,0.916
U013869,traffic_control,4,5.03,266,0.51
U001664,investigation,1,9.3,0,0.464
U032165,drug_raid,5,0.01,64,0.659
U016398,triage,2,13.31,1,0.851
U044894,tactical,4,8.38,316,0.702
U010445,crowd_control,4,4.95,362,0.678
U007536,investigation,5,2.77,178,0.688
U037310,fire_response,2,4.62,126,0.777
U038949,investigation,1,7.32,234,0.734
U000728,weapons,1,10.82,351,0.688
U011442,fire_response,2,3.82,60,0.452
U048376,traffic_control,4,6.78,120,0.828
U025940,tactical,3,2.96,72,0.838
U009753,hostage,4,1.2,218,0.597
U023267,investigation,5,2.85,153,0.729
U001837,negotiation,1,12.55,82,0.528
U031424,triage,4,13.93,45,0.731
U019065,triage,3,12.27,227,0.557
U029087,rescue,2,8.54,158,0.606
U039775,tactical,4,14.45,52,0.661
U023642,fire_response,5,4.8,9,0.789
U008687,investigation,1,14.04,349,0.831
U031787,drug_raid,4,12.06,64,0.707
U028304,traffic_control,2,1.47,104,0.677
U012426,triage,2,4.82,363,0.337
U028492,traffic_control,2,9.58,369,0.693
U016007,drug_raid,3,2.92,22,0.861
U043081,crowd_control,1,5.17,354,0.711
U031290,rescue,1,9.69,0,0.559
U024061,triage,4,4.68,303,0.872
U016361,hostage,5,12.46,351,0.533
U039162,drug_raid,3,6.07,229,0.767
U027926,tactical,5,1.83,237,0.905
U037483,negotiation,3,8.46,220,0.609
U011815,fire_response,3,2.45,127,0.861
U041634,negotiation,2,9.56,345,0.456
U039990,rescue,4,13.06,56,0.568
U049861,rescue,4,10.07,66,0.882
U047984,weapons,5,11.12,46,0.588
U003193,drug_raid,1,14.4,245,0.507
U039319,medical_emergency,1,10.46,273,0.721
U047707,drug_raid,3,3.74,254,0.767
U035775,fire_response,4,9.54,84,0.584
U036062,rescue,3,9.46,341,0.9
U022046,negotiation,2,3.4,44,0.616
U010915,hostage,4,5.65,0,0.98
U029692,weapons,3,6.92,52,0.934
U042546,medical_emergency,1,2.25,95,1.0
U040050,negotiation,2,11.61,46,0.72
U044289,hostage,4,9.57,298,0.167
U033695,fire_response,3,13.21,151,1.0
U003806,rescue,4,5.93,68,0.843
U029854,negotiation,5,5.11,124,0.872
U044500,hostage,1,7.79,315,0.781
U009819,hostage,5,4.64,115,0.872
U006787,drug_raid,5,13.93,89,0.892
U004434,hostage,5,11.36,153,0.689
U006230,hostage,5,14.54,131,0.872
U048126,tactical,5,9.44,244,0.666
U034053,hostage,4,8.53,80,0.794
U000377,negotiation,5,13.29,7,1.0
U000768,investigation,1,1.94,391,0.839
U037221,negotiation,4,5.16,346,0.638
U036667,negotiation,5,1.04,246,0.744
U024180,fire_response,4,10.24,100,0.706
U042669,negotiation,5,2.14,117,0.767
U025497,rescue,5,0.37,1,0.999
U031152,drug_raid,3,0.77,284,0.567
U018865,fire_response,5,13.69,189,0.594
U038671,crowd_control,4,4.91,311,0.838
U030550,investigation,2,10.87,342,0.619
U015054,crowd_control,5,3.78,301,0.83
U031441,investigation,3,9.24,218,0.787
U023877,weapons,1,4.98,327,0.575
U005016,weapons,1,5.26,151,0.998
U015358,negotiation,2,2.61,128,0.887
U016579,drug_raid,2,10.96,39,0.706
U015244,medical_emergency,1,8.91,179,0.635
U021550,rescue,5,1.58,250,0.816
U021486,investigation,4,1.46,386,0.608
U005991,negotiation,2,12.26,252,0.703
U048091,traffic_control,3,8.05,81,0.907
U033535,medical_emergency,3,8.98,111,0.67
U018539,investigation,4,1.47,356,0.852
U041499,investigation,3,0.0,317,1.0
U033886,triage,4,1.94,131,0.67
U021905,drug_raid,5,5.26,310,0.674
U012991,medical_emergency,3,4.74,319,0.432
U001504,hostage,3,9.51,180,0.864
U024134,rescue,1,2.77,168,0.723
U041317,fire_response,3,14.31,169,1.0
U045840,hostage,5,3.1,289,0.808
U006380,crowd_control,2,7.07,311,0.737
U003667,rescue,4,14.71,148,0.74
U017110,traffic_control,5,0.29,390,0.581
U021539,rescue,4,9.14,268,0.752
U001334,drug_raid,3,8.17,138,0.826
U043256,crowd_control,5,8.19,385,0.632
U043879,traffic_control,4,11.6,71,1.0
U039148,hostage,1,1.89,305,0.547
U030256,investigation,2,9.34,151,0.674
U010538,traffic_control,1,10.5,335,0.358
U021872,tactical,2,7.14,53,0.57
U002755,negotiation,5,9.38,335,0.988
U018319,tactical,2,1.01,244,0.662
U045342,drug_raid,3,2.18,154,0.617
U045758,weapons,1,12.8,245,0.804
U015477,fire_response,3,10.99,206,0.781
U040424,negotiation,1,1.6,2,0.788
U016541,weapons,5,9.27,196,0.6
U028467,drug_raid,5,2.52,396,0.869
U046645,hostage,2,4.59,191,0.502
U008965,medical_emergency,5,5.38,114,0.592
U039736,negotiation,4,1.94,262,0.613
U028346,medical_emergency,5,3.96,215,0.858
U017204,tactical,2,4.75,81,0.76
U008927,hostage,1,2.9,91,0.799
U038204,triage,3,7.07,315,0.403
U038065,crowd_control,2,1.84,44,0.699
U027259,investigation,5,11.11,172,0.682
U015157,fire_response,5,13.34,288,0.56
U023470,traffic_control,5,11.61,314,0.924
